04-02-2019;23-00;245.01
05-02-2019;00-01;239.21
05-02-2019;01-02;232.06
05-02-2019;02-03;230.13
05-02-2019;03-04;230.2
05-02-2019;04-05;227.6
05-02-2019;05-06;250.6
05-02-2019;06-07;308.2
05-02-2019;07-08;405.33
05-02-2019;08-09;432.12
05-02-2019;09-10;425.13
05-02-2019;10-11;415.53
05-02-2019;11-12;398.93
05-02-2019;12-13;354.72
05-02-2019;13-14;348.99
05-02-2019;14-15;349.06
05-02-2019;15-16;362.98
05-02-2019;16-17;397.44
05-02-2019;17-18;423.71
05-02-2019;18-19;439.04
05-02-2019;19-20;412.4
05-02-2019;20-21;355.39
05-02-2019;21-22;297.48
05-02-2019;22-23;290.27
05-02-2019;23-00;268.09
06-02-2019;00-01;268.82
06-02-2019;01-02;260.49
06-02-2019;02-03;257.88
06-02-2019;03-04;263.32
06-02-2019;04-05;269.79
06-02-2019;05-06;278.05
06-02-2019;06-07;327.1
06-02-2019;07-08;436.5
06-02-2019;08-09;480.64
06-02-2019;09-10;474.01
06-02-2019;10-11;443.5
06-02-2019;11-12;370.34
06-02-2019;12-13;339.68
06-02-2019;13-14;332.01
06-02-2019;14-15;349.2
06-02-2019;15-16;368.03
06-02-2019;16-17;400.03
06-02-2019;17-18;462.92
06-02-2019;18-19;487.48
06-02-2019;19-20;432.26
06-02-2019;20-21;352.03
06-02-2019;21-22;299.64
06-02-2019;22-23;277.01
06-02-2019;23-00;252.9
07-02-2019;00-01;250.98
07-02-2019;01-02;248.97
07-02-2019;02-03;244.95
07-02-2019;03-04;246.14
07-02-2019;04-05;250.53
07-02-2019;05-06;253.66
07-02-2019;06-07;302.19
07-02-2019;07-08;439.59
07-02-2019;08-09;456.49
07-02-2019;09-10;438.92
07-02-2019;10-11;430.81
07-02-2019;11-12;349.75
07-02-2019;12-13;323.85
07-02-2019;13-14;333.08
07-02-2019;14-15;351.54
07-02-2019;15-16;365.9
07-02-2019;16-17;385.18
07-02-2019;17-18;448
07-02-2019;18-19;477.4
07-02-2019;19-20;410.86
07-02-2019;20-21;307.1
07-02-2019;21-22;299.44
07-02-2019;22-23;267.43
07-02-2019;23-00;244.95
08-02-2019;00-01;250.15
08-02-2019;01-02;246.06
08-02-2019;02-03;243.68
08-02-2019;03-04;242.64
08-02-2019;04-05;248.59
08-02-2019;05-06;259.08
08-02-2019;06-07;323.39
08-02-2019;07-08;403.7
08-02-2019;08-09;483.04
08-02-2019;09-10;482.52
08-02-2019;10-11;431.83
08-02-2019;11-12;298.46
08-02-2019;12-13;268.69
08-02-2019;13-14;267.27
08-02-2019;14-15;261.54
08-02-2019;15-16;259.68
08-02-2019;16-17;248.29
08-02-2019;17-18;423.12
08-02-2019;18-19;292.06
08-02-2019;19-20;261.47
